PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-31,15:28:10.02,1,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.07901,-1.661038,-1.832055,2408.903407,204.659846,12:45,5.81777,0.85143,5.7277,-10.9365,24.52631,10.62166,3.35812,0.02965,80.36677,-3.855154,0.066958,0.428606,,,,,,,,,,,,-5.96906,13.35725,-0.70489,50,5.67252,3.68498,-130.38385,-3.99101,-10.03937,33.28095,-9.70852,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,c5a17dd0-783c-11ee-a174-4b133e7be462,87.94202,,,9.71223,,,,,,,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:28:10.02,2023-10-31T15:28:10.0250090-07:00,2023-10-31T22:28:10.0250090Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,483bee99-7d2a-4699-8a1a-85366f9ce80d,54.76713,-131.59505,16.64048,5.81134,-3.63768,-4.85426,-0.84564,4.05035,-5.01969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-10-31,15:28:25.07,1,2,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,0,1,TwoSeamFastBall,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,88.81189,-1.921785,-2.649,2358.927358,223.004571,1:30,5.90959,0.71786,6.20513,-18.838,16.91513,14.50099,2.5633,-0.52061,79.64352,-5.545377,-0.033213,0.430357,,,,,,,,,,,,-8.19406,9.72749,-0.52453,50,5.75532,5.30744,-128.58089,-4.8214,-13.45449,31.43818,-16.20176,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,ce9a1780-783c-11ee-a174-4b133e7be462,87.58419,,,9.16837,,,,,,,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:28:25.07,2023-10-31T15:28:25.0742250-07:00,2023-10-31T22:28:25.0742250Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,8952eba1-e42c-4f9e-b453-dde5039a9f75,54.28767,-129.62499,15.71909,5.90651,-4.28332,-8.10088,-0.70822,5.75428,-6.72724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-31,15:28:44.95,1,3,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,0,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.90257,-0.222329,-1.454465,2748.64511,73.729951,8:30,5.94492,0.81766,5.3015,-50.46113,-1.2287,-10.40965,1.53104,-1.41557,69.68308,-9.416395,-3.305359,0.505007,,,,,,,,,,,,4.71441,-0.0035,-0.67762,50,5.88832,3.24061,-111.39965,-2.13589,5.80196,23.8641,-32.17836,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,daad1090-783c-11ee-a174-4b133e7be462,74.63753,,,7.21949,,,,,,,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:28:44.95,2023-10-31T15:28:44.9501674-07:00,2023-10-31T22:28:44.9501674Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,ed85dee6-766c-4b85-8325-c96d411e4d04,55.1974,-112.50753,11.93205,5.9528,-0.64203,-16.08918,-0.82181,2.97126,2.90098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-31,15:29:14.27,2,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.99875,-1.332038,-2.550208,2443.169711,223.488946,1:30,5.83146,1.12284,5.8268,-16.26942,19.2995,16.9395,3.2359,0.16211,79.98253,-4.493319,0.483447,0.429246,,,,,,,,,,,,-9.44292,10.67524,-0.92391,50,5.71309,5.0282,-130.19873,-3.46551,-15.76026,34.38811,-14.35705,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,ebe7c530-783c-11ee-a174-4b133e7be462,87.81074,,,10.01622,,,,,,,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:29:14.27,2023-10-31T15:29:14.2780394-07:00,2023-10-31T22:29:14.2780394Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,316c377a-d928-4293-ba55-cb10a0afd1ad,54.66773,-131.42579,17.19406,5.82761,-2.95321,-7.17853,-1.11336,5.59056,-7.88013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-10-31,15:29:28.78,2,2,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.76898,0.061034,-1.210343,2705.720863,29.694957,7:00,5.86834,1.03922,5.59002,-57.31287,-7.4176,-5.22575,1.14928,-0.52662,69.12705,-10.383425,-2.145888,0.508395,,,,,,,,,,,,2.24378,-3.21603,-0.93188,50,5.83663,2.51973,-109.91517,-1.75492,2.70063,22.41621,-36.04489,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,f494fe00-783c-11ee-a174-4b133e7be462,74.1401,,,6.64193,,,,,,,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:29:28.78,2023-10-31T15:29:28.7843306-07:00,2023-10-31T22:29:28.7843306Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,dfd0ac52-d726-4b7a-8562-585451c39d98,54.9108,-110.91216,11.20811,5.87903,-0.15178,-18.02244,-1.04128,2.39962,1.35031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-10-31,15:29:42.98,2,3,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,1,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.30656,-3.866133,-3.336402,2586.025719,240.546059,2:00,5.91427,1.22516,5.81606,-28.31813,13.41013,20.7108,-0.05202,-0.15475,74.58355,-9.164417,0.375761,0.464929,,,,,,,,,,,,-11.77414,8.72327,-0.96407,50,5.58024,6.17117,-120.24871,-9.0048,-16.75184,29.46412,-19.76284,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,fd0ccef0-783c-11ee-a174-4b133e7be462,81.0714,,,8.72301,,,,,,,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:29:42.98,2023-10-31T15:29:42.9892586-07:00,2023-10-31T22:29:42.9892586Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,7c35e72e-1405-4307-85a2-3f5b10059dfa,54.68167,-121.39042,14.73206,5.91433,-8.239,-9.88142,-1.21577,6.8203,-8.37592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-31,15:30:04.10,2,4,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,2,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,81.60337,-1.812566,-3.351943,2537.492059,248.141656,2:15,5.82902,1.32699,5.86677,-31.6449,11.71883,24.73222,1.50471,0.27067,72.72817,-7.757271,1.083892,0.473952,88.16365,34.943575,3.734854,3677.546383,109.9864,67.47473,1.72303,331.5728,329.26917,-3.970135,4.9701,-13.90001,7.1565,-1.06974,50,5.66391,5.93297,-117.99706,-4.69668,-18.98094,29.02825,-22.40162,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,09b10b80-783d-11ee-a174-4b133e7be462,79.52791,86.06258,,8.8752,,,,3.24638,1.74261,-0.22921,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:30:04.10,2023-10-31T15:30:04.1044970-07:00,2023-10-31T22:30:04.1044970Z,FlyBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,0d715e5c-74e8-4371-af0a-5a4e2555902e,54.63153,-119.13101,14.51412,5.83029,-3.82159,-11.20081,-1.31598,6.67444,-9.49047,162.308414,3.24991,105.69407,-21.0251,5.40183,-0.90143,0.06724,0.00486,-0.00118,5E-05,1.74119,74.0858,-17.48486,0.29194,0.28991,-0.15193,0.04189,-0.00587,0.00032,-0.22816,6.8823,-5.64628,1.31023,-0.18315,0.00383,0.00318,-0.00042,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2023-10-31,15:30:35.07,3,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.60949,-1.195893,-2.211778,2495.109386,219.385123,1:15,6.02023,0.81527,6.05677,-14.90182,19.0704,14.54091,3.67047,-0.0213,81.49918,-4.112539,0.404172,0.419501,,,,,,,,,,,,-8.16717,10.5656,-0.65048,50,5.91919,4.46662,-132.63476,-3.14368,-14.15892,35.4512,-13.85717,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,1c0b8800-783d-11ee-a174-4b133e7be462,89.85057,,,10.11031,,,,,,,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:30:35.07,2023-10-31T15:30:35.0740970-07:00,2023-10-31T22:30:35.0740970Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,58cdbb02-47b2-407b-9242-3f8bf4cd102e,54.43771,-133.81563,17.7256,6.01622,-2.6821,-6.92859,-0.80712,4.93825,-7.07946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-31,15:30:49.68,3,2,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,2,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.36784,-0.286162,-0.389834,2771.064294,106.106017,9:30,5.76824,0.93441,5.41358,-40.48892,2.98351,-3.91087,2.12606,0.24328,72.99162,-7.774707,-1.086613,0.474546,,,,,,,,,,,,1.79721,2.16654,-0.89697,50,5.71535,0.97909,-119.08601,-2.01117,2.48328,30.91068,-29.18047,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,24ca4d00-783d-11ee-a174-4b133e7be462,79.42843,,,9.37622,,,,,,,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:30:49.68,2023-10-31T15:30:49.6861674-07:00,2023-10-31T22:30:49.6861674Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,ce9d9763-fd11-49ca-abc9-bdfbfc074733,55.08012,-120.39742,15.45534,5.77441,-0.77317,-14.59023,-0.93628,0.87374,1.24164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-10-31,15:31:02.59,3,3,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,2,0,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.37776,-2.826944,-3.847554,2349.265948,211.351229,1:00,5.84465,0.76873,6.1725,-11.24607,22.22123,12.69635,2.28844,-1.73225,82.03539,-5.087875,-1.564478,0.416372,,,,,,,,,,,,-7.82926,12.78627,-0.48277,50,5.6239,8.39662,-133.4109,-6.80311,-13.71799,36.13952,-9.77063,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231031-BaggettStadium-Private-1,2c713960-783d-11ee-a174-4b133e7be462,90.52582,,,10.34237,,,,,,,426d68d2-3944-4039-919e-b61820200f92,2023-10-31,22:31:02.59,2023-10-31T15:31:02.5915370-07:00,2023-10-31T22:31:02.5915370Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,28dfccf3-a561-4318-8833-7872fc17e2f4,54.32102,-134.57632,18.06976,5.83821,-6.48803,-4.88532,-0.76068,8.839,-6.85899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
